Network,Subnet,Gateway,DNS1,DNS2,VMNet
10.128.0.0/22,255.255.254.0,10.128.0.1,10.128.0.6,10.128.0.7,VLAN 200 - SERVER-A
10.128.30.0/32,255.255.254.0,10.128.30.1,65.106.1.196,64.106.7.196,VLAN 230 - INET-DMZ-A
10.128.30.0/23,255.255.254.0,10.128.30.1,10.128.0.6,10.128.0.7,VLAN 230 - INET-DMZ-A
10.128.170.0/24,255.255.255.0,10.128.170.1,10.128.0.6,10.128.0.7,VERSCEND|BusinessIntelligence|Microstrategy-Web-DEV
192.168.100.0/24,255.255.255.0,192.168.100.1,192.168.100.89,10.1.1.49,VMWare LAN
192.168.101.0/24,255.255.255.0,192.168.101.1,65.106.1.196,65.106.7.196,VMWare DMZ1
10.128.157.0/24,255.255.255.0,10.128.157.1,10.128.158.6,10.128.158.7,VERSCEND|QR|QR-PROD-DAN
10.128.152.0/22,255.255.252.0,10.128.152.1,10.128.158.6,10.128.158.7,VERSCEND|QR|QR-PROD-MULTI-TS
10.128.144.0/22,255.255.252.0,10.128.144.1,10.128.158.6,10.128.158.7,VERSCEND|QR|QR-PROD-TS-HUMANA
10.144.144.0/22,255.255.252.0,10.144.144.1,10.145.241.18,10.128.158.6,VERSCEND|QR|PROD-TS-HUMANA
10.128.158.0/23,255.255.254.0,10.128.158.1,10.128.0.6,10.128.0.7,VERSCEND|LEGACY-MCG|MCG-PURGATORY
